Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Flag,Net_Revenue,Order_Segment
ORD1044,CUST114,Electronics,Cash on Delivery,5888.26,10,5,5,3.0,No,Tier 1,0,On-Time,High-Value Order,5299.434,Standard Order
ORD1045,CUST289,Electronics,Credit Card,2257.84,50,4,5,4.0,No,Tier 1,1,Minor Delay,Regular Order,1128.92,Loyal & Satisfied
ORD1046,CUST289,Fashion,UPI,1624.47,10,3,7,5.0,No,Tier 3,4,Severe Delay,Regular Order,1462.0230000000001,Loyal & Satisfied
ORD1047,CUST274,Home & Kitchen,Credit Card,1112.41,10,4,5,2.0,No,Tier 1,1,Minor Delay,Regular Order,1001.1690000000001,Standard Order
ORD1048,CUST289,Fashion,UPI,914.9,10,5,9,5.0,No,Tier 3,4,Severe Delay,Regular Order,823.41,Standard Order
ORD1049,CUST150,Fashion,UPI,305.8,15,4,5,4.0,No,Tier 3,1,Minor Delay,Regular Order,259.93,Standard Order
ORD1050,CUST207,Beauty,Credit Card,811.73,15,3,3,2.0,No,Tier 1,0,On-Time,Regular Order,689.9705,Standard Order
ORD1051,CUST154,Fashion,UPI,3091.33,5,5,5,3.0,No,Tier 1,0,On-Time,Regular Order,2936.7634999999996,Standard Order
ORD1052,CUST343,Fashion,UPI,2180.45,10,2,3,2.0,Yes,Tier 2,1,Minor Delay,Regular Order,1962.405,Standard Order
ORD1053,CUST163,Books,Credit Card,492.09,20,3,4,4.0,No,Tier 2,1,Minor Delay,Regular Order,393.672,Standard Order
ORD1054,CUST348,Fashion,UPI,954.2,10,6,7,4.0,No,Tier 1,1,Minor Delay,Regular Order,858.7800000000001,Standard Order
ORD1055,CUST230,Home & Kitchen,Debit Card,2236.11,5,7,7,2.0,No,Tier 2,0,On-Time,Regular Order,2124.3045,Standard Order
ORD1056,CUST328,Beauty,UPI,283.71,15,3,3,4.0,Yes,Tier 1,0,On-Time,Regular Order,241.15349999999998,Standard Order
ORD1057,CUST150,Beauty,Cash on Delivery,788.04,20,5,5,5.0,No,Tier 3,0,On-Time,Regular Order,630.432,Standard Order
ORD1058,CUST234,Electronics,UPI,2491.37,0,7,7,5.0,No,Tier 1,0,On-Time,Regular Order,2491.37,Loyal & Satisfied
ORD1059,CUST120,Beauty,Debit Card,820.81,20,3,3,4.0,No,Tier 1,0,On-Time,Regular Order,656.648,Standard Order
ORD1060,CUST172,Fashion,Cash on Delivery,296.95,20,2,4,4.0,No,Tier 1,2,Minor Delay,Regular Order,237.56,Standard Order
ORD1061,CUST266,Fashion,Cash on Delivery,1138.46,10,2,2,4.0,No,Tier 3,0,On-Time,Regular Order,1024.614,Loyal & Satisfied
ORD1062,CUST117,Fashion,UPI,2574.36,50,6,5,3.0,No,Tier 2,-1,Early,Regular Order,1287.18,Standard Order
ORD1063,CUST231,Beauty,Credit Card,1270.75,20,4,4,5.0,No,Tier 3,0,On-Time,Regular Order,1016.6,Loyal & Satisfied
ORD1064,CUST188,Fashion,UPI,507.85,20,7,8,4.0,Yes,Tier 1,1,Minor Delay,Regular Order,406.28000000000003,Standard Order
ORD1065,CUST159,Fashion,Debit Card,781.88,15,5,5,4.0,No,Tier 1,0,On-Time,Regular Order,664.598,Standard Order
ORD1066,CUST113,Home & Kitchen,Cash on Delivery,917.67,0,5,5,4.0,No,Tier 1,0,On-Time,Regular Order,917.67,Standard Order
ORD1067,CUST341,Electronics,UPI,1238.91,5,4,4,5.0,No,Tier 2,0,On-Time,Regular Order,1176.9645,Loyal & Satisfied
ORD1068,CUST349,Electronics,Credit Card,1909.3,10,2,2,5.0,No,Tier 2,0,On-Time,Regular Order,1718.37,Loyal & Satisfied
ORD1069,CUST108,Electronics,UPI,324.93,5,2,6,3.0,No,Tier 2,4,Severe Delay,Regular Order,308.6835,Standard Order
ORD1070,CUST189,Electronics,UPI,2844.94,10,3,7,3.0,No,Tier 1,4,Severe Delay,Regular Order,2560.446,Standard Order
ORD1071,CUST152,Electronics,Credit Card,214.86,30,6,6,4.0,No,Tier 3,0,On-Time,Regular Order,150.402,Standard Order
ORD1072,CUST229,Electronics,Debit Card,754.54,20,7,7,4.0,No,Tier 1,0,On-Time,Regular Order,603.632,Standard Order
ORD1073,CUST183,Home & Kitchen,Cash on Delivery,233.36,15,6,7,3.0,Yes,Tier 3,1,Minor Delay,Regular Order,198.356,Standard Order
ORD1074,CUST191,Electronics,UPI,799.02,30,6,5,4.0,No,Tier 1,-1,Early,Regular Order,559.314,Standard Order
ORD1075,CUST210,Fashion,Credit Card,1095.38,20,3,3,4.0,Yes,Tier 2,0,On-Time,Regular Order,876.3040000000001,Standard Order
ORD1076,CUST287,Beauty,UPI,1060.14,10,6,6,3.0,No,Tier 1,0,On-Time,Regular Order,954.1260000000001,Standard Order
ORD1077,CUST298,Fashion,Credit Card,417.29,5,4,8,2.0,Yes,Tier 1,4,Severe Delay,Regular Order,396.4255,Standard Order
ORD1078,CUST271,Home & Kitchen,UPI,1445.27,10,3,2,3.0,No,Tier 2,-1,Early,Regular Order,1300.743,Standard Order
ORD1079,CUST107,Electronics,Debit Card,254.97,15,4,4,5.0,No,Tier 1,0,On-Time,Regular Order,216.7245,Standard Order
ORD1080,CUST274,Electronics,Cash on Delivery,1922.11,10,3,4,3.0,No,Tier 1,1,Minor Delay,Regular Order,1729.899,Standard Order
ORD1081,CUST134,Electronics,Debit Card,3716.93,15,6,6,2.0,No,Tier 2,0,On-Time,High-Value Order,3159.3905,Standard Order
ORD1082,CUST305,Electronics,UPI,698.2,0,4,3,4.0,Yes,Tier 2,-1,Early,Regular Order,698.2,Standard Order
ORD1083,CUST180,Fashion,Credit Card,1073.88,15,4,11,3.0,No,Tier 3,7,Severe Delay,Regular Order,912.7980000000001,Standard Order
ORD1084,CUST263,Electronics,UPI,771.54,20,4,4,1.0,No,Tier 1,0,On-Time,Regular Order,617.232,Standard Order
ORD1085,CUST149,Electronics,UPI,208.08,15,3,4,3.0,No,Tier 2,1,Minor Delay,Regular Order,176.868,Standard Order
ORD1086,CUST203,Electronics,Credit Card,785.07,50,5,5,4.0,No,Tier 2,0,On-Time,Regular Order,392.535,Standard Order
ORD1087,CUST231,Fashion,Credit Card,2082.65,20,6,6,4.0,No,Tier 1,0,On-Time,Regular Order,1666.1200000000001,Loyal & Satisfied
ORD1088,CUST101,Electronics,UPI,1287.58,30,4,4,3.0,No,Tier 2,0,On-Time,Regular Order,901.3059999999999,Standard Order
ORD1089,CUST233,Fashion,Debit Card,328.11,30,7,6,3.0,No,Tier 1,-1,Early,Regular Order,229.677,Standard Order
ORD1090,CUST153,Fashion,UPI,2453.88,20,5,4,4.0,No,Tier 1,-1,Early,Regular Order,1963.1040000000003,Loyal & Satisfied
ORD1091,CUST205,Home & Kitchen,UPI,1108.8,15,7,9,3.0,No,Tier 1,2,Minor Delay,Regular Order,942.4799999999999,Standard Order
ORD1092,CUST103,Electronics,Debit Card,2412.09,0,6,6,3.0,No,Tier 1,0,On-Time,Regular Order,2412.09,Standard Order
ORD1093,CUST153,Books,UPI,1241.63,10,6,6,3.0,No,Tier 2,0,On-Time,Regular Order,1117.467,Standard Order
ORD1094,CUST320,Home & Kitchen,UPI,1110.605,10,4,4,4.0,Yes,Tier 2,0,On-Time,Regular Order,999.5445000000001,Standard Order
ORD1095,CUST290,Electronics,Credit Card,333.47,5,4,5,4.0,No,Tier 3,1,Minor Delay,Regular Order,316.79650000000004,Standard Order
ORD1096,CUST245,Beauty,Credit Card,419.78,5,3,2,3.0,No,Tier 2,-1,Early,Regular Order,398.79099999999994,Standard Order
ORD1097,CUST317,Beauty,Debit Card,1167.26,50,5,5,4.0,No,Tier 1,0,On-Time,Regular Order,583.63,Loyal & Satisfied
ORD1098,CUST143,Electronics,Cash on Delivery,511.28,30,5,4,1.0,Yes,Tier 3,-1,Early,Regular Order,357.89599999999996,High-Risk Transaction
ORD1099,CUST261,Fashion,Debit Card,4750.54,20,4,3,3.0,Yes,Tier 3,-1,Early,High-Value Order,3800.4320000000002,Standard Order
ORD1100,CUST301,Books,Cash on Delivery,1110.92,10,6,5,4.0,No,Tier 1,-1,Early,Regular Order,999.8280000000001,Loyal & Satisfied
ORD1101,CUST289,Home & Kitchen,UPI,375.13,0,4,6,3.0,No,Tier 2,2,Minor Delay,Regular Order,375.13,Standard Order
ORD1102,CUST327,Electronics,UPI,325.5,0,6,5,4.0,Yes,Tier 3,-1,Early,Regular Order,325.5,Standard Order
ORD1103,CUST113,Electronics,UPI,481.14,5,6,5,3.0,No,Tier 2,-1,Early,Regular Order,457.08299999999997,Standard Order
ORD1104,CUST194,Fashion,Cash on Delivery,3318.56,0,4,4,4.0,No,Tier 3,0,On-Time,Regular Order,3318.56,Loyal & Satisfied
ORD1105,CUST147,Fashion,UPI,841.63,0,2,4,1.0,No,Tier 1,2,Minor Delay,Regular Order,841.63,Standard Order
ORD1106,CUST114,Home & Kitchen,Credit Card,803.89,30,5,5,5.0,Yes,Tier 1,0,On-Time,Regular Order,562.723,High-Risk Transaction
ORD1107,CUST299,Fashion,Cash on Delivery,1006.55,15,7,7,2.0,No,Tier 1,0,On-Time,Regular Order,855.5675,Standard Order
ORD1108,CUST305,Fashion,Debit Card,390.88,5,6,5,5.0,No,Tier 2,-1,Early,Regular Order,371.33599999999996,Standard Order
ORD1109,CUST314,Home & Kitchen,Credit Card,1002.97,0,6,6,3.0,Yes,Tier 3,0,On-Time,Regular Order,1002.97,Standard Order
ORD1110,CUST348,Electronics,Credit Card,367.18,10,2,2,4.0,No,Tier 3,0,On-Time,Regular Order,330.462,Standard Order
ORD1111,CUST289,Fashion,Debit Card,2365.67,0,7,7,3.0,No,Tier 1,0,On-Time,Regular Order,2365.67,Standard Order
ORD1112,CUST139,Home & Kitchen,Credit Card,755.2,30,3,3,5.0,No,Tier 1,0,On-Time,Regular Order,528.64,Standard Order
ORD1113,CUST312,Beauty,Cash on Delivery,763.63,10,2,2,2.0,No,Tier 3,0,On-Time,Regular Order,687.267,Standard Order
ORD1114,CUST307,Fashion,UPI,970.96,10,7,6,2.0,Yes,Tier 2,-1,Early,Regular Order,873.864,Standard Order
ORD1115,CUST336,Fashion,Credit Card,904.66,5,2,2,4.0,Yes,Tier 1,0,On-Time,Regular Order,859.4269999999999,Standard Order
ORD1116,CUST181,Electronics,Cash on Delivery,6524.37,0,6,5,2.0,No,Tier 2,-1,Early,High-Value Order,6524.37,Standard Order
ORD1117,CUST210,Fashion,UPI,1145.96,15,5,6,2.0,No,Tier 2,1,Minor Delay,Regular Order,974.066,Standard Order
ORD1118,CUST152,Fashion,Cash on Delivery,310.8,15,2,6,5.0,No,Tier 2,4,Severe Delay,Regular Order,264.18,Standard Order
ORD1119,CUST123,Electronics,UPI,1320.36,15,3,10,4.0,No,Tier 2,7,Severe Delay,Regular Order,1122.3059999999998,Loyal & Satisfied
ORD1120,CUST253,Fashion,Cash on Delivery,397.26,0,4,6,3.0,No,Tier 1,2,Minor Delay,Regular Order,397.26,Standard Order
ORD1121,CUST316,Fashion,Debit Card,237.71,10,7,8,5.0,No,Tier 3,1,Minor Delay,Regular Order,213.93900000000002,Standard Order
ORD1122,CUST287,Electronics,UPI,4437.93,10,2,3,4.0,No,Tier 2,1,Minor Delay,High-Value Order,3994.137,Loyal & Satisfied
ORD1123,CUST223,Fashion,UPI,1982.22,30,2,2,3.0,No,Tier 1,0,On-Time,Regular Order,1387.5539999999999,Standard Order
ORD1124,CUST336,Electronics,Debit Card,4900.99,5,3,4,4.0,No,Tier 1,1,Minor Delay,High-Value Order,4655.9405,Loyal & Satisfied
ORD1125,CUST140,Fashion,Cash on Delivery,979.83,5,5,5,4.0,No,Tier 2,0,On-Time,Regular Order,930.8385,Standard Order
ORD1126,CUST256,Electronics,UPI,1111.8,15,2,2,4.0,Yes,Tier 1,0,On-Time,Regular Order,945.03,Standard Order
ORD1127,CUST114,Beauty,UPI,421.19,15,2,3,3.0,No,Tier 1,1,Minor Delay,Regular Order,358.0115,Standard Order
ORD1128,CUST144,Home & Kitchen,Debit Card,540.28,10,5,5,4.0,No,Tier 2,0,On-Time,Regular Order,486.252,Standard Order
ORD1129,CUST164,Home & Kitchen,UPI,1110.605,10,3,3,1.0,No,Tier 1,0,On-Time,Regular Order,999.5445000000001,Standard Order
ORD1130,CUST188,Books,Cash on Delivery,728.41,10,7,11,2.0,Yes,Tier 2,4,Severe Delay,Regular Order,655.569,Standard Order
ORD1131,CUST170,Fashion,UPI,2304.07,30,7,6,1.0,No,Tier 1,-1,Early,Regular Order,1612.849,Standard Order
ORD1132,CUST108,Electronics,Credit Card,1681.38,10,2,2,4.0,No,Tier 2,0,On-Time,Regular Order,1513.2420000000002,Loyal & Satisfied
ORD1133,CUST187,Fashion,Debit Card,434.01,30,5,9,5.0,No,Tier 1,4,Severe Delay,Regular Order,303.80699999999996,Standard Order
ORD1134,CUST228,Home & Kitchen,UPI,1049.78,10,2,3,4.0,No,Tier 1,1,Minor Delay,Regular Order,944.802,Standard Order
ORD1135,CUST335,Home & Kitchen,Cash on Delivery,1557.56,30,4,4,4.0,Yes,Tier 1,0,On-Time,Regular Order,1090.292,High-Risk Transaction
ORD1136,CUST235,Fashion,Cash on Delivery,521.51,20,7,7,3.0,No,Tier 3,0,On-Time,Regular Order,417.208,Standard Order
ORD1137,CUST315,Electronics,UPI,2331.22,5,6,6,2.0,No,Tier 3,0,On-Time,Regular Order,2214.6589999999997,Standard Order
ORD1138,CUST162,Fashion,Cash on Delivery,1144.49,30,4,6,3.0,No,Tier 1,2,Minor Delay,Regular Order,801.1429999999999,Standard Order
ORD1139,CUST238,Fashion,UPI,416.74,0,2,2,3.0,No,Tier 2,0,On-Time,Regular Order,416.74,Standard Order
ORD1140,CUST342,Home & Kitchen,UPI,1249.56,30,3,3,4.0,No,Tier 2,0,On-Time,Regular Order,874.6919999999999,Loyal & Satisfied
ORD1141,CUST180,Home & Kitchen,UPI,9990.6,15,7,6,4.0,No,Tier 3,-1,Early,High-Value Order,8492.01,Loyal & Satisfied
ORD1142,CUST235,Fashion,Credit Card,395.76,0,6,5,1.0,Yes,Tier 1,-1,Early,Regular Order,395.76,Standard Order
ORD1143,CUST262,Beauty,UPI,2236.33,15,4,8,1.0,No,Tier 2,4,Severe Delay,Regular Order,1900.8805,Standard Order
ORD1144,CUST262,Home & Kitchen,Credit Card,478.79,50,7,7,2.0,No,Tier 1,0,On-Time,Regular Order,239.395,Standard Order
ORD1145,CUST132,Electronics,Cash on Delivery,2030.05,0,5,6,3.0,No,Tier 1,1,Minor Delay,Regular Order,2030.05,Standard Order
ORD1146,CUST222,Electronics,Credit Card,1791.72,10,3,2,5.0,No,Tier 3,-1,Early,Regular Order,1612.548,Loyal & Satisfied
ORD1147,CUST104,Electronics,Cash on Delivery,628.85,15,4,5,4.0,No,Tier 2,1,Minor Delay,Regular Order,534.5225,Standard Order
ORD1148,CUST333,Electronics,Cash on Delivery,673.12,20,5,9,5.0,Yes,Tier 1,4,Severe Delay,Regular Order,538.496,Standard Order
ORD1149,CUST330,Electronics,Debit Card,2087.27,10,2,2,4.0,No,Tier 1,0,On-Time,Regular Order,1878.5430000000001,Loyal & Satisfied
ORD1150,CUST349,Electronics,UPI,942.64,5,5,4,3.0,Yes,Tier 2,-1,Early,Regular Order,895.5079999999999,Standard Order
ORD1151,CUST140,Fashion,Cash on Delivery,1774.84,0,4,4,2.0,No,Tier 2,0,On-Time,Regular Order,1774.84,Standard Order
ORD1152,CUST127,Electronics,Debit Card,392.18,10,4,5,5.0,No,Tier 1,1,Minor Delay,Regular Order,352.962,Standard Order
ORD1153,CUST234,Beauty,UPI,2497.18,10,2,2,4.0,No,Tier 3,0,On-Time,Regular Order,2247.462,Loyal & Satisfied
ORD1154,CUST300,Electronics,Cash on Delivery,1689.12,30,5,7,2.0,No,Tier 1,2,Minor Delay,Regular Order,1182.3839999999998,Standard Order
ORD1155,CUST171,Fashion,Cash on Delivery,3049.45,0,5,6,4.0,No,Tier 1,1,Minor Delay,Regular Order,3049.45,Loyal & Satisfied
ORD1156,CUST111,Fashion,Credit Card,370.39,15,2,4,4.0,No,Tier 3,2,Minor Delay,Regular Order,314.8315,Standard Order
ORD1157,CUST261,Beauty,Credit Card,1167.26,0,5,6,4.0,No,Tier 1,1,Minor Delay,Regular Order,1167.26,Loyal & Satisfied
ORD1158,CUST132,Electronics,UPI,1296.91,0,7,6,5.0,No,Tier 1,-1,Early,Regular Order,1296.91,Loyal & Satisfied
ORD1159,CUST147,Fashion,Cash on Delivery,723.35,10,2,2,4.0,No,Tier 2,0,On-Time,Regular Order,651.015,Standard Order
ORD1160,CUST346,Beauty,UPI,936.02,10,3,3,4.0,Yes,Tier 3,0,On-Time,Regular Order,842.418,Standard Order
ORD1161,CUST250,Beauty,Credit Card,246.47,15,4,8,1.0,No,Tier 1,4,Severe Delay,Regular Order,209.49949999999998,Standard Order
ORD1162,CUST161,Books,UPI,1843.84,30,3,4,1.0,No,Tier 3,1,Minor Delay,Regular Order,1290.6879999999999,Standard Order
ORD1163,CUST315,Fashion,Cash on Delivery,1156.4,15,7,8,2.0,No,Tier 2,1,Minor Delay,Regular Order,982.94,Standard Order
ORD1164,CUST136,Electronics,Cash on Delivery,271.37,50,7,7,1.0,No,Tier 1,0,On-Time,Regular Order,135.685,Standard Order
ORD1165,CUST198,Home & Kitchen,UPI,1570.16,30,6,6,4.0,No,Tier 2,0,On-Time,Regular Order,1099.112,Loyal & Satisfied
ORD1166,CUST271,Beauty,UPI,954.59,10,6,7,4.0,No,Tier 1,1,Minor Delay,Regular Order,859.1310000000001,Standard Order
ORD1167,CUST203,Home & Kitchen,Cash on Delivery,242.08,20,6,6,2.0,No,Tier 1,0,On-Time,Regular Order,193.66400000000002,Standard Order
ORD1168,CUST313,Home & Kitchen,Credit Card,4392.28,15,2,2,5.0,No,Tier 2,0,On-Time,High-Value Order,3733.4379999999996,Loyal & Satisfied
ORD1169,CUST318,Fashion,UPI,3773.76,0,5,6,2.0,No,Tier 3,1,Minor Delay,High-Value Order,3773.76,Standard Order
ORD1170,CUST134,Books,UPI,1063.15,15,7,6,3.0,No,Tier 1,-1,Early,Regular Order,903.6775,Standard Order
ORD1171,CUST292,Electronics,UPI,318.03,0,3,3,3.0,No,Tier 1,0,On-Time,Regular Order,318.03,Standard Order
ORD1172,CUST326,Fashion,Credit Card,1885.94,10,3,3,3.0,No,Tier 2,0,On-Time,Regular Order,1697.346,Standard Order
ORD1173,CUST200,Fashion,UPI,1012.57,15,3,2,3.0,No,Tier 1,-1,Early,Regular Order,860.6845000000001,Standard Order
ORD1174,CUST274,Fashion,UPI,632.21,0,3,10,4.0,Yes,Tier 1,7,Severe Delay,Regular Order,632.21,Standard Order
ORD1175,CUST305,Electronics,Debit Card,1011.36,5,6,6,3.0,No,Tier 1,0,On-Time,Regular Order,960.7919999999999,Standard Order
ORD1176,CUST230,Electronics,Credit Card,1086.89,30,3,2,4.0,No,Tier 2,-1,Early,Regular Order,760.823,Standard Order
ORD1177,CUST100,Home & Kitchen,Credit Card,1192.6,15,5,5,1.0,No,Tier 1,0,On-Time,Regular Order,1013.7099999999999,Standard Order
ORD1178,CUST104,Fashion,Credit Card,898.41,5,6,7,2.0,No,Tier 1,1,Minor Delay,Regular Order,853.4894999999999,Standard Order
ORD1179,CUST317,Home & Kitchen,Debit Card,1316.94,15,3,3,1.0,No,Tier 3,0,On-Time,Regular Order,1119.3990000000001,Standard Order
ORD1180,CUST346,Electronics,Debit Card,3212.04,10,2,2,4.0,No,Tier 3,0,On-Time,Regular Order,2890.8360000000002,Loyal & Satisfied
ORD1181,CUST241,Fashion,Cash on Delivery,739.8,10,4,3,1.0,No,Tier 2,-1,Early,Regular Order,665.8199999999999,Standard Order
ORD1182,CUST202,Fashion,UPI,1752.31,50,4,3,5.0,No,Tier 1,-1,Early,Regular Order,876.155,Loyal & Satisfied
ORD1183,CUST126,Electronics,Cash on Delivery,2898.31,15,4,4,4.0,Yes,Tier 2,0,On-Time,Regular Order,2463.5634999999997,Standard Order
ORD1184,CUST236,Fashion,UPI,930.52,5,6,8,4.0,No,Tier 1,2,Minor Delay,Regular Order,883.9939999999999,Standard Order
ORD1185,CUST306,Electronics,Debit Card,903.21,20,3,5,4.0,No,Tier 1,2,Minor Delay,Regular Order,722.5680000000001,Standard Order
ORD1186,CUST114,Electronics,Debit Card,1305.92,30,7,6,2.0,No,Tier 2,-1,Early,Regular Order,914.144,Standard Order
ORD1187,CUST189,Beauty,Cash on Delivery,1274.04,0,7,7,2.0,No,Tier 1,0,On-Time,Regular Order,1274.04,Standard Order
ORD1188,CUST141,Fashion,UPI,2171.53,5,7,11,3.0,No,Tier 1,4,Severe Delay,Regular Order,2062.9535,Standard Order
ORD1189,CUST223,Books,Cash on Delivery,976.62,5,6,6,4.0,No,Tier 1,0,On-Time,Regular Order,927.789,Standard Order
ORD1190,CUST304,Fashion,UPI,6863.22,15,5,7,3.0,No,Tier 1,2,Minor Delay,High-Value Order,5833.737,Standard Order
